688,5,5,  1,  1.157
230690, 53561,5,5,  1,  0.256
230691, 51314,5,5,  2,  1.966
230692,230691,5,5,  1,  0.547
230693, 19512,5,5,  1,  0.211
230694, 70811,5,5,  3,  3.655
230694,133100,5,5,  2,  0.812
230694,230177,5,5,  2,  1.314
230695, 35445,5,5,  1,  0.271
230696, 64266,5,5,  1,  0.160
230696, 71166,5,5,  1,  0.145
230696,153847,5,5,  1,  0.046
230696,251427,5,5,  2,  0.649
230697,240446,5,5,  2,  0.708
230698,230700,5,5,  1,  0.317
230699, 39815,5,5,  1,  0.309
230700, 39815,5,5,  2,  0.640
230700, 59103,5,5,  1,  1.010
230700, 74101,5,5,  1,  0.243
230701,196389,5,5,  1,  0.236
230701,230699,5,5,  2,  0.412
230701,244799,5,5,  1,  0.300
230702,230701,5,5,  1,  0.262
230703,230705,5,5,  1,  0.603
230704, 74099,5,5,  1,  0.603
230705,132791,5,5,  1,  0.493
230706,230704,5,5,  1,  0.484
230707, 46487,5,5,  4,  0.524
230707,201503,5,5,  2,  0.118
230708,230706,5,5,  1,  0.460
230709,221117,5,5,  1,  0.627
230710,  6353,5,5,  3,  1.408
230711,259208,5,5,  1,  0.310
230712,129503,5,5,  1,  0.351
230713, 47012,5,5,  2,  2.507
230714,192960,5,5,  1,  0.257
230715,  3348,5,5,  1,  0.317
230716, 59891,5,5,  2,  1.174
230716, 69474,5,5,  2,  1.526
230716,174306,5,5,  5,  3.172
230717, 70656,5,5,  1,  0.382
230718,221130,5,5,  1,  0.333
230719,128350,5,5,  1,  0.288
230720,230719,5,5,  1,  0.494
230721,230718,5,5,  1,  0.142
230722,240467,5,5,  1,  0.221
230723, 69324,5,5,  1,  0.419
230724,253474,5,5,  1,  0.172
230725,100678,5,5,  1,  0.153
230725,115738,5,5,  3,  0.476
230725,167120,5,5,  1,  0.232
230726,105120,5,5,  1,  0.928
230726,172533,5,5,  1,  0.364
230726,195846,5,5,  1,  0.416
230726,241525,5,5,  5,  0.149
230726,241526,5,5,  2,  0.294
230727,230726,5,5,  2,  0.607
230727,242190,5,5,  1,  0.338
230728, 35694,5,5,  1,  0.433
230729,123964,5,5,  1,  0.127
230729,158385,5,5,  9,  2.579
230729,230730,5,5,  1,  0.227
230729,257393,5,5,  2,  0.756
230730,  1594,5,5,  1,  0.484
230730,123966,5,5,  4,  0.784
230730,215793,5,5,  3,  0.899
230731,123964,5,5,  2,  0.266
230731,158385,5,5, 10,  2.792
230731,230727,5,5,  1,  0.267
230731,257393,5,5,  4,  0.839
230732, 44204,5,5,  1,  0.257
230733, 29338,5,5,  2,  0.819
230733, 85450,5,5,  1,  0.308
230734,118212,5,5,  1,  0.506
230734,160957,5,5,  1,  0.152
230735,230734,5,5,  1,  0.359
230736,108663,5,5,  1,  0.232
230737,159003,5,5,  1,  0.241
230738, 63340,5,5,  1,  0.130
230739,  2802,5,5,  2,  2.746
230739, 16935,5,5,  2,  4.247
230740, 41566,5,5,  1,  0.400
230741, 49980,5,5,  2,  0.562
230742, 46405,5,5,  2,  0.105
230742,150139,5,5,  1,  0.490
230743, 74338,5,5,  3,  0.528
230743,230749,5,5,  1,  0.150
230744,  3462,5,5,  1,  0.369
230745, 74335,5,5,  2,  0.646
230745,230743,5,5,  1,  0.531
230746,149631,5,5, 30, 13.666
230747,259005,5,5,  1,  0.373
230748,124135,5,5,  1,  0.228
230748,230747,5,5,  1,  0.375
230749,230748,5,5,  1,  0.109
230750,107908,5,5,  1,  0.360
230750,187587,5,5,  1,  0.383
230750,188083,5,5,  5,  0.552
230750,246581,5,5,  1,  0.214
230751,107908,5,5,  1,  0.350
230751,188083,5,5,  1,  0.557
230751,246581,5,5,  1,  0.193
230751,246583,5,5,  1,  0.207
230752, 63638,5,5,  4,  1.622
230752,187587,5,5,  1,  0.390
230753,135206,5,5,  1,  0.751
230753,187587,5,5,  1,  0.401
230753,188083,5,5,  1,  0.536
230754,118241,5,5,  3,  2.016
230754,252430,5,5,  5,  2.363
230755, 63553,5,5,  1,  1.131
230755,107908,5,5,  1,  0.374
230755,187537,5,5,  1,  0.262
230755,246581,5,5,  1,  0.238
230755,246583,5,5,  1,  0.241
230756,195938,5,5,  1,  0.239
230757,124508,5,5,  9,  3.784
230757,156499,5,5,  3,  2.361
230758,226804,5,5,  1,  0.319
230759,185917,5,5,  1,  0.283
230760, 58952,5,5,  1,  0.118
230760, 74764,5,5,  1,  0.177
230760,253593,5,5,  1,  0.119
230760,253594,5,5,  1,  0.101
230761, 32297,5,5,  1,  0.357
230762, 27430,5,5,  1,  0.585
230763, 54117,5,5,  1,  0.144
230764,191857,5,5,  1,  0.166
230765,133107,5,5,  1,  0.206
230766,191858,5,5,  1,  0.188
230767, 68064,5,5,  1,  0.231
230767, 73485,5,5,  1,  0.231
230767,139193,5,5,  1,  0.155
230767,198043,5,5,  1,  0.014
230768,122047,5,5,  1,  0.196
230769,260426,5,5,  1,  0.308
230770,246769,5,5,  1,  0.523
230771, 61726,5,5,  1,  0.343
230772,205866,5,5,  1,  0.282
230773,202944,5,5,  1,  0.064
230774,207081,5,5,  4,  1.524
230775,103043,5,5,  2,  0.815
230775,212183,5,5,  1,  0.932
230776,221179,5,5,  1,  0.394
230776,230775,5,5,  2,  0.881
230777, 43758,5,5,  1,  0.390
230778,216415,5,5,  1,  0.324
230779,162270,5,5,  1,  0.249
230780,230785,5,5,  1,  0.411
230781,250458,5,5,  1,  0.161
230782,235060,5,5,  1,  0.101
230783,166854,5,5,  1,  0.318
230783,222095,5,5,  1,  0.345
230783,225530,5,5,  5,  2.713
230783,260379,5,5,  2,  0.422
